epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.7202,1.14026,4.3021,1.27031,0.17515,0.07186,0.03016,0.0186,1.06065,3.96493,1.14575,9.28e-06,9.28e-06,9.28e-06
2,10.5068,1.17496,4.05178,1.29041,0.2062,0.08923,0.05241,0.03364,1.0598,3.34092,1.14887,1.87439e-05,1.87439e-05,1.87439e-05
3,15.3671,1.18122,3.62373,1.26972,0.2913,0.11572,0.10544,0.07252,1.04516,2.82779,1.14768,2.71742e-05,2.71742e-05,2.71742e-05
4,20.9847,1.14524,3.25945,1.274,0.37952,0.14984,0.16012,0.11381,1.02602,2.51055,1.14804,3.45709e-05,3.45709e-05,3.45709e-05
5,25.995,1.13484,2.81059,1.24282,0.42735,0.25378,0.27219,0.20088,1.01055,2.14955,1.14366,4.09341e-05,4.09341e-05,4.09341e-05
6,31.0872,1.09529,2.55681,1.25139,0.4965,0.34565,0.3507,0.2625,0.99453,1.86541,1.13461,4.62637e-05,4.62637e-05,4.62637e-05
7,36.5927,1.10201,2.49515,1.28562,0.625,0.35889,0.41017,0.30954,0.98374,1.71346,1.12912,5.05598e-05,5.05598e-05,5.05598e-05
8,41.6906,1.08635,2.04874,1.23797,0.73265,0.3717,0.46444,0.35749,0.97177,1.57023,1.12269,5.38223e-05,5.38223e-05,5.38223e-05
9,47.5122,1.12457,2.03621,1.25341,0.62447,0.47274,0.50896,0.39507,0.94837,1.47621,1.11344,5.60512e-05,5.60512e-05,5.60512e-05
10,52.5389,1.04885,1.90833,1.2343,0.65274,0.49737,0.53898,0.41935,0.9377,1.39756,1.10788,5.72466e-05,5.72466e-05,5.72466e-05
11,60.4203,1.05035,2.00599,1.15265,0.69172,0.49512,0.57887,0.45204,0.93706,1.33669,1.10208,5.74084e-05,5.74084e-05,5.74084e-05
12,65.426,1.01218,1.91863,1.15605,0.67609,0.53438,0.61065,0.47752,0.93505,1.24209,1.09321,5.2838e-05,5.2838e-05,5.2838e-05
13,70.2931,1.01766,1.83473,1.15443,0.76629,0.52308,0.62447,0.48651,0.92817,1.19959,1.08691,4.7096e-05,4.7096e-05,4.7096e-05
14,75.6246,1.04761,1.85628,1.17203,0.72672,0.56018,0.63523,0.4957,0.92849,1.15923,1.08276,4.1354e-05,4.1354e-05,4.1354e-05
15,80.4271,1.04416,1.74526,1.18812,0.73756,0.55339,0.63864,0.50206,0.92588,1.12637,1.07827,3.5612e-05,3.5612e-05,3.5612e-05
16,85.9078,1.05429,1.7274,1.1923,0.79478,0.54029,0.65855,0.52143,0.91057,1.08417,1.06941,2.987e-05,2.987e-05,2.987e-05
17,90.8711,0.97874,1.61752,1.16215,0.75137,0.58296,0.67018,0.53213,0.90244,1.06447,1.0658,2.4128e-05,2.4128e-05,2.4128e-05
18,95.6251,0.96753,1.58017,1.12292,0.73276,0.61281,0.68202,0.54283,0.90114,1.04473,1.06468,1.8386e-05,1.8386e-05,1.8386e-05
19,101.135,0.94692,1.56741,1.12532,0.74604,0.61583,0.68713,0.54545,0.89787,1.02972,1.06286,1.2644e-05,1.2644e-05,1.2644e-05
20,106.036,0.93821,1.49324,1.11401,0.76494,0.61749,0.70307,0.5589,0.89446,1.01634,1.06075,6.902e-06,6.902e-06,6.902e-06
